date_transaction,transaction_id,client_id,compte_destination_id,montant_fcfa,type_transaction,is_risky,type_anomalie,source,montant_log,ratio_seuil,proche_seuil,a_destinataire,jour_semaine,type_decaissement_credit,type_depot,type_remboursement_credit,type_retrait,type_transfert_entrant,type_transfert_sortant,out_degree,in_degree,montant_moyen_client,montant_std_client,nb_transactions_client,nb_destinataires_distincts_client,montant_zscore,nb_transactions_7j,montant_cumule_7j
2026-02-17,AMLSIM-1,AMLSIM-CLI-0,AMLSIM-CLI-373,102700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,11.539577132967588,0.01027,0,1,1,False,False,True,False,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,0.11521595766497711,1.0,102700.0
2026-03-06,AMLSIM-5,AMLSIM-CLI-0,AMLSIM-CLI-18,118400.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,11.681832447342321,0.01184,0,1,4,True,False,False,False,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,0.26637672663490525,1.0,118400.0
2026-03-23,AMLSIM-9,AMLSIM-CLI-0,AMLSIM-CLI-86,118300.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,11.680987503016127,0.01183,0,1,0,False,False,False,False,True,False,18,23.0,90733.33333333333,103861.92757695189,18,18,0.2654139191892369,1.0,118300.0
2026-04-08,AMLSIM-16,AMLSIM-CLI-0,AMLSIM-CLI-42,474600.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,13.070229730019086,0.04746,0,1,2,True,False,False,False,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,3.695896848105504,1.0,474600.0
2026-04-15,AMLSIM-6,AMLSIM-CLI-0,AMLSIM-CLI-71,48400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,10.78727575364831,0.00484,0,1,2,False,False,True,False,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,-0.40758848533292713,1.0,48400.0
2026-04-23,AMLSIM-11,AMLSIM-CLI-0,AMLSIM-CLI-39,172700.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,12.059317054505962,0.01727,0,1,3,True,False,False,False,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,0.7891811696328095,1.0,172700.0
2026-04-24,AMLSIM-7,AMLSIM-CLI-0,AMLSIM-CLI-41,75300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,11.229248693912288,0.00753,0,1,4,False,False,False,True,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,-0.14859328244814585,2.0,248000.0
2026-05-02,AMLSIM-13,AMLSIM-CLI-0,AMLSIM-CLI-2,80800.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,11.299744620670225,0.00808,0,1,5,False,True,False,False,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,-0.09563887293638759,1.0,80800.0
2026-05-02,AMLSIM-64143,AMLSIM-CLI-0,AMLSIM-CLI-2042,49000.0,transfert_sortant,True,fan_out,AMLSIM_IBM_TOPOLOGIE_REELLE,10.799595985047786,0.0049,0,1,5,False,False,False,False,False,True,18,23.0,90733.33333333333,103861.92757695189,18,18,-0.40181164065891717,2.0,129800.0
2026-05-07,AMLSIM-2,AMLSIM-CLI-0,AMLSIM-CLI-16,5300.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,8.575650760987806,0.00053,0,1,3,True,False,False,False,False,False,18,23.0,90733.33333333333,103861.92757695189,18,18,-0.8225584944159782,3.0,135100.0
