transaction_id,client_id,date_transaction,montant_fcfa,type_transaction,compte_destination_id,corridor,is_risky,type_anomalie
fea762b2,CLI-00391,2026-02-03 00:00:00,43600.0,depot,,local,False,aucune
8a10b75c,CLI-00510,2026-02-03 00:00:00,72700.0,retrait,,local,False,aucune
5c95a570,CLI-00751,2026-02-03 00:00:00,114500.0,transfert_sortant,CLI-00111,local,False,aucune
e34749a8,CLI-00209,2026-02-03 00:00:00,105500.0,transfert_entrant,CLI-00342,local,False,aucune
8b1b60e8,CLI-00138,2026-02-03 00:00:00,4577900.0,retrait,,local,False,aucune
7eb0e23c,CLI-00294,2026-02-03 00:00:00,24000.0,transfert_sortant,CLI-00705,local,False,aucune
baef24b1,CLI-00067,2026-02-03 00:00:00,47700.0,retrait,,local,False,aucune
fc0c475a,CLI-00600,2026-02-03 00:00:00,46200.0,depot,,local,False,aucune
4b63ba26,CLI-00289,2026-02-03 00:00:00,12300.0,transfert_sortant,CLI-00158,local,False,aucune
4c3ea369,CLI-00426,2026-02-03 00:00:00,14300.0,transfert_sortant,CLI-00454,regional_uemoa,False,aucune
1b257b3a,CLI-00542,2026-02-03 00:00:00,130500.0,retrait,,local,False,aucune
3344fa00,CLI-00721,2026-02-03 00:00:00,65500.0,retrait,,local,False,aucune
114aa633,CLI-00380,2026-02-03 00:00:00,30200.0,retrait,,local,False,aucune
21eb18d5,CLI-00333,2026-02-03 00:00:00,110800.0,retrait,,local,False,aucune
fb6879d7,CLI-00132,2026-02-03 00:00:00,6900.0,remboursement_credit,,local,False,aucune
94ae40e3,CLI-00097,2026-02-03 00:00:00,19800.0,depot,,local,False,aucune
c7eb085b,CLI-00203,2026-02-03 00:00:00,280500.0,retrait,,local,False,aucune
707babc0,CLI-00141,2026-02-03 00:00:00,35900.0,retrait,,transfrontalier_sensible,False,aucune
4a70bfc3,CLI-00203,2026-02-03 00:00:00,46800.0,retrait,,local,False,aucune
03ed5cc7,CLI-00202,2026-02-03 00:00:00,138600.0,remboursement_credit,,local,False,aucune
6ffb42a5,CLI-00545,2026-02-03 00:00:00,496200.0,depot,,transfrontalier_sensible,False,aucune
c0ff9b08,CLI-00086,2026-02-03 00:00:00,70100.0,depot,,local,False,aucune
18c6f0ad,CLI-00640,2026-02-03 00:00:00,11400.0,transfert_sortant,CLI-00594,local,False,aucune
c9a5328e,CLI-00703,2026-02-03 00:00:00,44900.0,retrait,,local,False,aucune
9778b1d0,CLI-00152,2026-02-03 00:00:00,78000.0,remboursement_credit,,local,False,aucune
91f40bcf,CLI-00036,2026-02-03 00:00:00,49000.0,retrait,,local,False,aucune
02e9eda3,CLI-00089,2026-02-03 00:00:00,26700.0,depot,,local,False,aucune
